,city,city_lat,city_lon,city_temp,city_hum,city_cloud,city_wind,city_country,city_date
300,tigil,57.8,158.67,20.08,91,20,2.13,RU,1604924912
301,roald,62.58,6.13,48.2,81,0,8.05,NO,1604924912
302,wairoa,-39.03,177.37,50.0,98,93,4.03,NZ,1604924912
303,farafangana,-22.82,47.83,79.05,64,3,13.38,MG,1604924913
304,songea,-10.68,35.65,86.0,33,20,12.75,TZ,1604924913
305,qasigiannguit,68.82,-51.19,15.8,66,75,5.82,GL,1604924913
306,motema,8.6,-11.03,86.77,55,85,1.45,SL,1604924914
307,port macquarie,-31.43,152.92,62.01,74,55,0.02,AU,1604924914
308,matagami,49.75,-77.63,48.2,93,1,9.17,CA,1604924914
309,saumur,47.33,-0.25,64.0,77,90,6.93,FR,1604924915
310,kaitangata,-46.28,169.85,52.0,74,9,0.83,NZ,1604924915
311,kalemie,-5.95,29.19,83.7,52,100,5.41,CD,1604924915
312,coquimbo,-29.95,-71.34,55.4,87,90,3.36,CL,1604924916
313,havre-saint-pierre,50.23,-63.6,30.2,92,90,5.82,CA,1604924916
314,ambon,-3.7,128.18,79.0,14,94,6.02,ID,1604924916
315,key west,24.56,-81.78,82.4,94,90,23.04,US,1604924770
316,rochegda,62.8,43.25,31.84,97,100,9.53,RU,1604924917
317,altamira,-3.2,-52.21,82.4,78,75,8.05,BR,1604924918
318,noormarkku,61.59,21.87,44.6,75,75,10.29,FI,1604924918
319,parainen,60.31,22.3,46.0,81,75,9.17,FI,1604924918
320,sumbe,-11.21,13.84,84.2,80,75,6.93,AO,1604924918
321,halifax,44.65,-63.57,48.2,93,90,12.75,CA,1604924733
322,lakes entrance,-37.88,147.98,55.99,92,0,3.31,AU,1604924919
323,songjianghe,42.19,127.48,19.94,83,14,3.94,CN,1604924920
324,gravdal,68.12,13.5,39.2,64,75,12.75,NO,1604924920
325,leninskoye,41.76,69.39,51.8,57,0,2.24,KZ,1604924920
326,nhulunbuy,-12.23,136.77,82.4,74,76,8.05,AU,1604924921
327,pangnirtung,66.15,-65.71,14.0,66,75,2.24,CA,1604924921
328,gazanjyk,39.24,55.52,60.31,32,0,4.27,TM,1604924921
329,nikolayevka,53.13,47.2,36.72,80,28,10.07,RU,1604924922
330,kaura namoda,12.59,6.58,89.56,16,13,10.36,NG,1604924922
331,mitsamiouli,-11.38,43.28,81.73,71,90,10.18,KM,1604924922
332,conceicao do araguaia,-8.26,-49.26,85.62,70,57,1.48,BR,1604924923
333,jaisalmer,26.91,70.92,84.78,14,0,4.47,IN,1604924923
334,atascadero,35.49,-120.67,46.0,86,1,3.36,US,1604924924
335,cabo san lucas,22.89,-109.91,70.0,81,1,1.99,MX,1604924706
336,tamisan,6.84,126.3,80.47,80,76,2.86,PH,1604924924
337,russkaya polyana,49.42,31.92,48.27,66,100,4.45,UA,1604924925
338,boyolangu,-8.12,111.89,78.39,82,97,5.77,ID,1604924925
339,shakawe,-18.37,21.85,103.41,13,7,4.47,BW,1604924925
340,dalvik,65.97,-18.53,37.4,73,90,5.82,IS,1604924925
341,the pas,53.83,-101.25,12.2,85,90,20.8,CA,1604924926
342,khvorostyanka,52.61,48.96,38.64,74,17,8.68,RU,1604924926
343,adrar,20.5,-10.07,91.51,11,51,12.57,MR,1604924927
344,kovdor,67.57,30.48,32.97,95,86,10.07,RU,1604924927
345,ponta delgada,37.73,-25.67,66.2,55,20,12.75,PT,1604924927
346,lewistown,40.6,-77.57,39.2,100,1,0.54,US,1604924928
347,neuquen,-38.95,-68.06,64.4,72,20,3.36,AR,1604924928
348,balaipungut,1.05,101.28,82.4,74,40,4.7,ID,1604924818
349,dauriya,49.93,116.87,20.75,98,67,2.26,RU,1604924929
350,mareeba,-17.0,145.43,78.8,65,90,8.05,AU,1604924929
351,senador jose porfirio,-2.59,-51.95,81.12,74,61,3.69,BR,1604924929
352,quelimane,-17.88,36.89,95.0,47,20,18.34,MZ,1604924930
353,kodiak,57.79,-152.41,42.8,35,1,27.51,US,1604924637
354,salekhard,66.53,66.6,18.41,97,100,3.51,RU,1604924930
355,mirabela,-16.26,-44.16,78.8,54,0,3.36,BR,1604924931
356,ivanava,52.15,25.54,48.02,73,71,4.25,BY,1604924931
357,goure,13.98,10.27,87.01,21,4,8.99,NE,1604924931
358,rio grande,-32.03,-52.1,68.0,77,90,14.99,BR,1604924925
359,yelizovo,53.19,158.38,21.2,67,93,11.18,RU,1604924932
360,masuguru,-11.37,38.42,102.0,22,96,7.47,TZ,1604924932
361,saint-pierre,-21.34,55.48,78.8,74,75,24.16,RE,1604924933
362,kolomak,49.84,35.3,51.94,56,83,5.06,UA,1604924933
363,konakovo,56.7,36.77,37.22,78,11,11.27,RU,1604924933
364,pacifica,37.61,-122.49,48.99,52,1,8.05,US,1604924838
365,gorontalo,0.54,123.06,76.41,79,56,4.05,ID,1604924934
366,lebyazhye,55.27,66.49,32.47,95,91,14.0,RU,1604924727
367,beloha,-25.17,45.05,103.75,10,10,12.95,MG,1604924935
368,greencastle,39.64,-86.86,57.2,76,40,5.82,US,1604924905
369,melville,40.79,-73.42,46.4,87,1,3.0,US,1604924935
370,pevek,69.7,170.31,18.66,93,100,7.14,RU,1604924936
371,kavaratti,10.57,72.64,84.27,73,45,7.96,IN,1604924860
372,asau,46.43,26.4,54.0,72,69,3.6,RO,1604924936
373,yagodnoye,62.55,149.67,-2.92,89,100,3.2,RU,1604924937
374,novikovo,51.15,37.89,49.69,61,51,6.87,RU,1604924937
375,atherton,53.52,-2.49,59.0,75,99,1.99,GB,1604924937
376,portland,45.52,-122.68,35.01,86,75,1.07,US,1604924766
377,xinqing,48.23,129.5,7.25,90,0,3.58,CN,1604924938
378,sulangan,11.14,123.72,83.21,75,66,3.89,PH,1604924939
379,otjiwarongo,-20.46,16.65,91.4,15,55,2.24,NA,1604924939
380,kendari,-3.94,122.5,77.77,83,97,3.8,ID,1604924939
381,dargaville,-35.93,173.88,51.31,92,74,4.65,NZ,1604924940
382,monticello,45.31,-93.79,64.0,77,90,2.91,US,1604924940
383,yartsevo,55.07,32.7,38.88,73,45,6.6,RU,1604924940
384,nyzhnya duvanka,49.58,38.17,53.19,53,77,5.3,UA,1604924941
385,shilka,51.85,116.03,23.54,96,38,5.97,RU,1604924941
386,broome,42.25,-75.83,48.2,66,1,1.54,US,1604924941
387,les cayes,18.2,-73.75,79.56,85,84,5.39,HT,1604924942
388,salina,38.84,-97.61,64.99,82,90,23.04,US,1604924823
389,scottsbluff,41.87,-103.67,28.4,86,90,4.7,US,1604924808
390,carutapera,-1.2,-46.02,86.88,62,67,10.63,BR,1604924943
391,mackay,-21.15,149.2,75.2,64,75,17.22,AU,1604924943
392,vallenar,-28.57,-70.76,67.82,49,0,3.6,CL,1604924944
393,nalut,30.33,10.85,75.94,25,0,13.62,LY,1604924944
394,luderitz,-26.65,15.16,72.16,34,0,37.27,NA,1604924944
395,burlington,39.88,-74.64,42.8,100,1,2.13,US,1604924764
396,najran,17.49,44.13,86.0,20,0,6.93,SA,1604924945
397,upernavik,72.79,-56.15,-1.64,81,88,10.87,GL,1604924946
398,nieuw amsterdam,5.88,-55.08,82.99,83,75,8.05,SR,1604924946
399,sumenep,-7.02,113.87,85.44,67,100,8.37,ID,1604924946
400,jiwani,25.05,61.74,80.26,77,1,14.58,PK,1604924947
401,esperance,-33.87,121.9,60.8,93,30,8.05,AU,1604924947
402,jiaojiang,28.68,121.44,55.0,59,0,1.01,CN,1604924948
403,carinhanha,-14.3,-43.77,81.66,57,87,5.53,BR,1604924948
404,adelaide,-34.93,138.6,78.01,40,0,4.7,AU,1604924742
405,gwanda,-20.93,29.0,99.28,16,23,4.52,ZW,1604924949
406,san fernando,15.03,120.69,80.6,83,75,2.24,PH,1604924949
407,taitung,22.76,121.14,69.8,68,75,11.41,TW,1604924949
408,sobolevo,54.43,31.9,39.88,69,48,6.53,RU,1604924950
409,shieli,44.17,66.75,48.83,49,76,9.51,KZ,1604924755
410,barahona,18.21,-71.1,73.4,100,40,3.22,DO,1604924950
411,samfya,-11.36,29.56,95.83,16,38,5.99,ZM,1604924951
412,maragogi,-9.01,-35.22,78.67,82,37,11.21,BR,1604924951
413,porto velho,-8.76,-63.9,77.0,94,75,3.36,BR,1604924951
414,sakakah,29.97,40.21,82.4,32,20,4.7,SA,1604924952
415,colborne,44.0,-77.88,53.01,93,1,1.12,CA,1604924952
416,soyo,-6.13,12.37,80.13,78,99,12.35,AO,1604924953
417,greymouth,-42.47,171.2,47.19,79,0,8.72,NZ,1604924953
418,christchurch,-43.53,172.63,51.01,81,93,6.93,NZ,1604924915
419,martapura,-3.42,114.85,80.6,88,91,4.7,ID,1604924954
420,sangolqui,-0.33,-78.45,53.6,71,75,2.24,EC,1604924717
421,dudinka,69.41,86.18,21.2,92,40,11.18,RU,1604924954
422,xacmaz,41.46,48.81,59.77,49,0,8.7,AZ,1604924955
423,los lunas,34.81,-106.73,50.0,42,40,6.93,US,1604924955
424,yingcheng,30.95,113.55,57.2,54,0,2.24,CN,1604924955
425,newport,51.59,-3.0,62.01,99,72,7.87,GB,1604924956
426,le port,-20.94,55.29,77.0,78,75,25.28,RE,1604924956
427,jayanca,-6.39,-79.82,60.8,87,0,11.41,PE,1604924957
428,balkanabat,39.51,54.37,58.87,44,0,2.1,TM,1604924958
429,bathsheba,13.22,-59.52,80.6,88,75,9.17,BB,1604924958
430,siavonga,-16.54,28.71,104.97,19,79,0.98,ZM,1604924958
431,koulamoutou,-1.13,12.47,80.6,78,75,2.62,GA,1604924959
432,pueblo nuevo,23.38,-105.38,51.46,80,0,5.28,MX,1604924959
433,medvedevo,56.63,47.8,35.6,64,40,13.42,RU,1604924959
434,jidong,45.22,131.08,16.05,85,34,8.3,CN,1604924960
435,mabaruma,8.2,-59.78,77.13,93,82,2.89,GY,1604924960
436,tarakan,3.3,117.63,83.48,80,58,7.63,ID,1604924960
437,saint george,37.1,-113.58,39.0,80,75,4.7,US,1604924861
438,soller,39.77,2.72,72.0,64,0,5.82,ES,1604924961
439,kahului,20.89,-156.47,73.99,69,20,4.7,US,1604924683
440,bom jesus,-9.07,-44.36,84.18,54,17,7.07,BR,1604924962
441,payakumbuh,-0.22,100.63,72.66,89,100,1.52,ID,1604924962
442,szaszvar,46.28,18.38,48.2,100,90,1.12,HU,1604924963
443,ushtobe,45.25,77.98,43.45,60,78,10.0,KZ,1604924963
444,troitskoye,52.98,84.68,37.98,76,91,17.72,RU,1604924964
445,bani,18.28,-70.33,75.2,100,75,5.28,DO,1604924964
446,barguzin,53.62,109.62,32.22,93,29,3.98,RU,1604924964
447,ambilobe,-13.2,49.05,95.31,31,96,1.52,MG,1604924965
448,yankton,42.87,-97.4,44.6,93,90,17.22,US,1604924805
449,susehri,40.16,38.09,60.84,33,0,3.42,TR,1604924966
450,sarakhs,36.54,61.16,60.8,55,39,4.7,IR,1604924966
451,zhangye,38.93,100.45,41.41,46,0,2.26,CN,1604924967
452,shimoda,34.67,138.95,58.35,66,17,11.48,JP,1604924967
453,san cristobal,7.77,-72.22,77.0,94,40,2.24,VE,1604924968
454,tilichiki,60.47,166.1,6.21,93,0,11.9,RU,1604924968
455,ancud,-41.87,-73.82,62.01,76,0,9.17,CL,1604924968
456,padang,-0.95,100.35,79.7,77,100,2.62,ID,1604924969
457,tecpatan,17.13,-93.3,64.4,93,75,0.78,MX,1604924969
458,vondrozo,-22.82,47.28,77.38,56,2,10.45,MG,1604924969
459,nuuk,64.18,-51.72,19.4,67,75,19.46,GL,1604924970
460,husavik,66.04,-17.34,37.4,79,90,5.82,IS,1604924970
461,pimentel,-6.84,-79.93,60.8,87,0,11.41,PE,1604924906
462,zlitan,32.47,14.57,71.4,49,32,11.97,LY,1604924971
463,barentu,15.11,37.59,91.89,24,13,6.22,ER,1604924971
464,jeremie,18.65,-74.12,79.95,74,93,3.53,HT,1604924972
465,kargasok,59.06,80.86,33.78,93,99,17.38,RU,1604924973
466,havelock,34.88,-76.9,66.99,93,90,4.7,US,1604924974
467,lavrentiya,65.58,-171.0,31.1,98,100,19.82,RU,1604924975
468,dali,25.7,100.18,54.39,69,36,2.46,CN,1604924975
469,muromtsevo,56.37,75.24,35.85,83,98,12.97,RU,1604924976
470,sao jose da coroa grande,-8.9,-35.15,79.63,80,31,11.3,BR,1604924976
471,nakamura,32.98,132.93,50.92,81,0,6.2,JP,1604924977
472,mount gambier,-37.83,140.77,69.8,56,78,6.93,AU,1604924977
473,qeshm,26.96,56.27,86.0,62,20,11.41,IR,1604924978
474,bonthe,7.53,-12.51,84.13,69,84,5.01,SL,1604924979
475,desterro,-7.29,-37.09,79.48,59,74,13.33,BR,1604924979
476,chernushka,56.51,56.08,32.9,94,100,14.54,RU,1604924979
477,ostrovnoy,68.05,39.51,32.38,95,79,19.3,RU,1604924980
478,ca mau,9.18,105.15,76.89,80,96,1.66,VN,1604924980
479,dingle,11.0,122.67,77.13,90,74,4.41,PH,1604924981
480,dzhebariki-khaya,62.22,135.8,-16.24,86,0,1.07,RU,1604924981
481,vrangel,42.73,133.08,31.35,81,5,9.42,RU,1604924981
482,puerto del rosario,28.5,-13.86,75.2,64,20,13.87,ES,1604924982
483,zambezi,-13.54,23.1,95.9,20,24,6.15,ZM,1604924983
484,acajutla,13.59,-89.83,66.99,100,29,4.65,SV,1604924871
485,bahia de caraquez,-0.6,-80.42,71.6,88,90,6.93,EC,1604924984
486,yerbogachen,61.28,108.01,37.27,81,100,12.15,RU,1604924984
487,ureshino,33.1,129.98,48.2,66,0,6.93,JP,1604924984
488,mafeteng,-29.82,27.24,77.0,41,75,11.41,LS,1604924985
489,maniitsoq,65.42,-52.9,22.28,87,100,27.11,GL,1604924985
490,makhinjauri,41.67,41.69,62.6,72,0,3.36,GE,1604924985
491,tianpeng,30.99,103.94,72.0,1,98,3.38,CN,1604924986
492,fonte boa,-2.5,-66.27,73.85,97,100,1.7,BR,1604924986
493,tabuk,17.42,121.44,74.08,88,100,5.84,PH,1604924987
494,mount pleasant,32.79,-79.86,69.01,94,40,8.05,US,1604924987
495,kindu,-2.95,25.95,80.96,88,94,2.46,CD,1604924987
496,dunedin,-45.87,170.5,52.0,74,68,1.81,NZ,1604924988
497,solnechnyy,50.72,136.63,11.8,85,92,2.57,RU,1604924988
498,raudeberg,61.99,5.14,50.0,83,98,4.38,NO,1604924989
499,campbellford,44.31,-77.8,53.01,100,20,2.68,CA,1604924989
500,cosala,24.41,-106.69,71.01,93,2,2.86,MX,1604924990
501,souillac,-20.52,57.52,78.8,65,75,13.87,MU,1604924990
502,marijampole,54.57,23.35,46.4,64,0,3.36,LT,1604924808
503,zielona gora,51.94,15.51,44.01,93,90,6.93,PL,1604924991
504,mingaora,34.78,72.36,63.91,28,74,3.36,PK,1604924992
505,daru,-9.08,143.21,80.02,82,100,16.69,PG,1604924992
506,cockburn town,21.46,-71.14,80.6,83,40,13.87,TC,1604924993
507,brae,60.4,-1.35,51.8,93,75,10.29,GB,1604924993
508,udachnyy,66.42,112.4,6.8,92,90,8.95,RU,1604924993
509,atar,20.52,-13.05,96.15,10,20,9.44,MR,1604924994
510,valka,57.78,26.01,45.0,92,60,7.0,LV,1604924994
511,luanda,-8.84,13.23,73.4,94,90,9.17,AO,1604924995
512,mulchen,-37.72,-72.23,53.6,93,20,12.75,CL,1604924995
513,pasighat,28.07,95.33,69.17,58,0,3.04,IN,1604924995
514,praia da vitoria,38.73,-27.07,64.99,68,20,18.86,PT,1604924996
515,belawan,3.78,98.68,78.8,94,20,4.7,ID,1604924997
516,lac du bonnet,50.25,-96.06,28.4,68,1,26.4,CA,1604924997
517,moerai,-22.43,-151.33,75.24,78,96,18.19,PF,1604924998
518,northam,51.03,-4.22,59.0,87,68,5.01,GB,1604924998
519,dhidhdhoo,6.88,73.1,84.51,73,88,11.03,MV,1604924999
520,marfino,55.7,37.38,37.0,69,40,13.42,RU,1604924999
521,sorochinsk,52.43,53.16,36.39,79,93,13.22,RU,1604924999
522,olafsvik,64.89,-23.71,43.27,79,98,18.28,IS,1604925000
523,cap-aux-meules,47.38,-61.86,44.6,93,100,13.87,CA,1604925000
524,juneau,58.3,-134.42,35.6,93,90,14.99,US,1604924703
525,plattsburgh,44.7,-73.45,48.0,93,1,5.3,US,1604925001
526,miri,4.41,114.01,78.8,94,40,8.05,MY,1604924903
527,arcachon,44.59,-1.05,64.99,77,0,3.36,FR,1604925002
528,datong,40.09,113.29,40.08,57,0,1.9,CN,1604925004
529,sao felix do xingu,-6.64,-51.99,87.57,58,100,3.42,BR,1604925005
530,bagotville,-28.98,153.42,62.01,93,75,4.7,AU,1604925007
531,findlay,41.04,-83.65,55.0,76,1,5.82,US,1604924712
532,novyy urgal,51.07,132.56,10.17,86,3,2.3,RU,1604925008
533,tabou,4.42,-7.35,83.1,72,58,7.94,CI,1604925009
534,dingli,35.86,14.38,71.01,64,20,8.05,MT,1604925009
535,karasuk,53.74,78.04,36.68,82,100,22.39,RU,1604925010
536,tingo maria,-9.29,-76.01,78.3,56,50,1.01,PE,1604925011
537,krasnoselkup,65.7,82.47,10.02,95,100,11.43,RU,1604925011
538,yumen,40.28,97.2,32.92,81,0,1.48,CN,1604925012
539,jiuquan,39.74,98.52,37.83,50,0,3.44,CN,1604925013
540,ankazoabo,-22.28,44.52,100.06,8,100,6.89,MG,1604925013
541,awjilah,29.11,21.29,74.98,38,16,13.78,LY,1604925014
542,tongliao,43.61,122.27,25.81,73,0,6.31,CN,1604925015
543,bilibino,68.05,166.44,-2.9,90,99,1.14,RU,1604925016
544,santa marta,11.24,-74.2,82.0,78,100,3.49,CO,1604925016
545,zhigalovo,54.81,105.16,30.11,95,16,1.34,RU,1604925017
546,shubarkuduk,49.14,56.49,40.5,69,0,10.49,KZ,1604925017
547,domoni,-12.26,44.53,80.73,74,97,7.85,KM,1604925018
548,ramygala,55.52,24.3,46.4,74,0,3.36,LT,1604925018
549,concordia,-31.39,-58.02,66.2,82,90,11.41,AR,1604924842
550,angoche,-16.23,39.91,84.97,64,0,17.4,MZ,1604925019
551,dunbar,38.36,-81.74,44.6,100,1,2.28,US,1604925003
552,cardston,49.2,-113.3,19.4,83,45,3.36,CA,1604924720
553,norman wells,65.28,-126.83,19.4,92,75,4.7,CA,1604925020
554,aranos,-24.13,19.12,87.48,21,40,3.89,NA,1604925021
555,owando,-0.48,15.9,83.8,69,50,2.13,CG,1604925022
556,codrington,-38.27,141.97,68.45,51,32,13.04,AU,1604925022
557,mehriz,31.59,54.43,69.8,32,0,4.7,IR,1604925023
558,ballina,-28.87,153.57,62.01,93,75,4.7,AU,1604925023
559,maningrida,-12.07,134.27,83.1,73,100,8.28,AU,1604925024
560,kaeo,-35.1,173.78,53.01,93,100,3.36,NZ,1604925024
561,sibiti,-3.68,13.35,76.1,93,100,4.27,CG,1604925024
562,xingcheng,40.62,120.72,44.76,55,0,6.35,CN,1604925025
563,panacan,9.25,118.41,80.6,88,20,4.7,PH,1604925025
564,byron bay,-28.65,153.62,62.01,93,75,4.7,AU,1604925026
565,richards bay,-28.78,32.04,74.93,74,89,14.07,ZA,1604925026
566,deputatskiy,69.3,139.9,-17.86,89,0,2.95,RU,1604925027
567,cap malheureux,-19.98,57.61,77.0,71,4,11.99,MU,1604925027
568,storforshei,66.4,14.52,37.99,93,75,2.24,NO,1604925028
569,lata,40.16,-8.33,66.0,83,14,1.01,PT,1604925028
570,touros,-5.2,-35.46,80.6,83,75,18.34,BR,1604924860
571,makakilo city,21.35,-158.09,78.8,83,20,3.36,US,1604925029
572,aswan,24.09,32.91,84.65,18,0,6.33,EG,1604925029
573,vao,-22.67,167.48,71.02,63,15,12.15,NC,1604925030
574,camocim,-2.9,-40.84,89.74,52,3,11.48,BR,1604925030
575,socorro,31.65,-106.3,62.6,42,20,11.41,US,1604925031
576,khani,41.96,42.96,66.2,45,0,5.82,GE,1604925031
577,mahanoro,-19.9,48.8,78.4,69,0,9.13,MG,1604925032
578,sterling,39.01,-77.43,50.0,93,90,3.36,US,1604925032
579,aksu,41.12,80.26,44.67,47,99,1.97,CN,1604925032
580,tartagal,-22.52,-63.8,75.2,69,98,11.41,AR,1604925033
581,catabola,-12.15,17.28,82.4,34,0,9.17,AO,1604925033
582,shitanjing,39.23,106.34,44.55,52,0,5.46,CN,1604925033
583,ulladulla,-35.35,150.47,55.0,93,40,4.7,AU,1604924897
584,bonfim,3.08,-59.95,82.36,69,3,0.51,BR,1604925034
585,moyale,3.52,39.06,80.35,49,74,12.26,KE,1604925034
586,sambava,-14.27,50.17,79.65,70,98,14.56,MG,1604925035
587,mayor pablo lagerenza,-19.93,-60.77,89.46,47,100,10.27,PY,1604925035
588,axim,4.87,-2.24,83.82,71,99,8.12,GH,1604925036
589,harper,4.38,-7.72,82.87,72,65,7.78,LR,1604925036
590,jiexiu,37.02,111.91,51.33,43,0,0.54,CN,1604925036
591,tura,25.52,90.22,67.8,91,0,3.33,IN,1604925037
592,anadyr,64.75,177.48,12.2,92,20,6.71,RU,1604925037
593,hami,42.8,93.45,44.13,49,5,8.1,CN,1604925038
594,port hedland,-20.32,118.57,78.8,65,0,12.75,AU,1604925038
595,jibuti,11.5,42.5,86.0,62,20,12.75,DJ,1604925038
596,kaiu,59.01,25.06,46.4,81,75,12.75,EE,1604925039
597,nemuro,43.32,145.57,36.25,84,100,6.06,JP,1604925039
598,sarkand,45.41,79.92,37.8,72,0,1.25,KZ,1604925040
599,aksarka,66.56,67.8,15.26,97,100,6.67,RU,1604925040
